Identifier,Label,Description,Created,Modified,History notes,Type
651,Alcohol and entertainment licensing -  request for production of temporary event notice,An officer authorised by a local authority may request the production of the temporary events notice in certain circumstances.,2015-07-24,2015-07-24,,power
652,Alcohol and entertainment licensing -  issue of copy temporary event notice,"A local authority must issue a replacement temporary event notice in certain circumstances where an acknowledged temporary event notice is lost, stolen, damaged or destroyed and that the premises user has reported that loss or theft to the police.",2015-07-24,2015-07-24,,duty
653,Alcohol and entertainment licensing -  personal licence applications and renewals,A local authority must grant or renew a personal licence or reject the application in certain circumstances and take certain prescribed steps,2015-07-24,2015-07-24,,duty
654,Alcohol and entertainment licensing -  convictions after grant or renewal of personal licence,A local authority must notify the Chief officer of police and consider revocation of licence in relation to certain convictions.,2015-07-24,2015-07-24,,duty
655,Alcohol and entertainment licensing -  form of personal licence,A local authority must issue a personal licence in the prescribed form.,2015-07-24,2015-07-24,,duty
656,Alcohol and entertainment licensing -  copy personal licence,"Where the relevant licensing authority receives an application for a copy personal licence it must issue the licence holder with a copy of the licence (certified by the authority to be a true copy) if it is satisfied that the licence has been lost, stolen, damaged or destroyed, and where it has been lost or stolen, the holder of the licence has reported the loss or theft to the police.",2015-07-24,2015-07-24,,duty
657,Alcohol and entertainment licensing -  update of personal licence document,A local authority must update a personal licence in certain circumstances.,2015-07-24,2015-07-24,,duty
658,Alcohol and entertainment licensing -  request to inspect personal licence,An officer authorised by a local authority may inspect a personal licence in certain circumstances.,2015-07-24,2015-07-24,,power
659,Alcohol and entertainment licensing -  enforcement of prohibition on sale of alcohol to children,A local authority must enforce sections 146 and 147 of the Act prohibiting sales of alcohol to children.,2015-07-24,2015-07-24,,duty
660,Alcohol and entertainment licensing -  review of premises licence following closure order,A local authority must review a premises licence when a closure order has been made and take certain prescribed steps when so doing.,2015-07-24,2015-07-24,,duty
661,Alcohol and entertainment licensing -  closure notice for persistently selling alcohol to children,An officer authorised by a local authority may issue a closure notice in the prescribed form in certain circumstances in respect of a premises that persistently sells alcohol to children.,2015-07-24,2015-07-24,,power
662,Alcohol and entertainment licensing -  early morning alcohol restriction order,"A local authority may make, vary or revoke an early morning alcohol restriction order in certain circumstances.",2015-07-24,2015-07-24,,power
663,Alcohol and entertainment licensing -  rights of entry to investigate licensable activities,"An officer authorised by a local authority may enter premises, subject to certain circumstances, to investigate licensable activities.",2015-07-24,2015-07-24,,power
664,Alcohol and entertainment licensing -  proceedings for offences,A local authority may bring proceedings for certain offences under the Act.,2015-07-24,2015-07-24,,power
665,Finance - borrowing money,"A local authority may borrow money for any purpose relevant to its functions under any enactment, or for the purposes of the prudent management of its financial affairs.  Any borrowing is subject to conditions as specified in regulations.",2015-07-24,2015-07-24,,power
666,Finance - affordable borrowing limit,A local authority must determine its affordable borrowing limit.,2015-07-24,2017-11-16,,duty
667,Finance - transfer of headroom,A local authority may transfer any headroom that it has in relation to a borrowing limit to another local authority in certain circumstances.,2015-07-24,2015-07-24,,power
668,Finance - control of credit arrangements,A local authority must comply with restrictions imposed in relation to it entering into credit arrangements.,2015-07-24,2015-07-24,,duty
669,Finance - use of capital receipts,A local authority must comply with regulations regarding capital receipts,2015-07-24,2015-07-24,,duty
670,Finance - power to invest,"A local authority may invest for any purpose relevant to its functions under any enactment, or for the purposes of the prudent management of its financial affairs.",2015-07-24,2015-07-24,,power
671,Finance - providing information to the Secretary of State,A local authority must provide the Secretary of State with such information relating to borrowing and investment as he shall request.,2015-07-24,2015-07-24,,duty
672,Finance - regard to guidance from Secretary of State,A local authority must comply with guidance and statutory instruments issued by the Secretary of State with regard to its borrowing and investment powers and duties.,2015-07-24,2015-07-24,,duty
673,Finance - accounting practices,A local authority must comply with statutory instruments regarding the accounting practices that it should follow.,2015-07-24,2015-07-24,,duty
674,Finance - budget calculations,A chief finance officer of a local authority must report on the robustness of estimates and the adequacy of financial reserves.,2015-07-24,2015-07-24,,duty
675,Finance - report on inadequacy of controlled reserve,A chief finance officer of a local authority must report upon any inadequacy of any controlled reserve.,2015-07-24,2015-07-24,,duty
676,Finance - budget monitoring,A local authority must review its budget calculations during the year from time to time.,2015-07-24,2015-07-24,,duty
677,Finance - compliance with terms of grants,A local authority must comply with the terms of any grant made by the Secretary of State.,2015-07-24,2015-07-24,,duty
678,Finance - compliance with terms of grant for service excellence/best value,A local authority must comply with the terms of any grant made for service excellence/best value.,2015-07-24,2015-07-24,,duty
679,Finance - payments towards local authority indebtedness,A local authority must comply with the terms of any payment made to deal with its indebtedness.,2015-07-24,2015-07-24,,duty
680,Business improvement district - arrangements,A local authority may make business improvement district arrangements for all or part of its area.,2015-07-24,2015-07-24,,power
681,Business improvement district - additional contributions and action,A local authority may make contributions or take action towards BID arrangements for its area.,2015-07-24,2015-07-24,,power
682,Business improvement district - compliance,A local authority must comply with any BID arrangements  in force for its area.,2015-07-24,2015-07-24,,duty
683,Business improvement district -  BID levy,A local authority must calculate the BID Levy in accordance with any BID arrangements in force for its area.,2015-07-24,2015-07-24,,duty
684,Business improvement district -  BID revenue account,A local authority must when BID arrangements are in force for its area keep and maintain a BID revenue account.,2015-07-24,2015-07-24,,duty
685,Business improvement district -  administration of BID levy,A local authority comply with statutory instruments regarding administration of the BID Levy.,2015-07-24,2015-07-24,,duty
686,Business improvement district -  BID proposals,"A local authority comply with statutory instruments regarding the drawing up, content and approval of BID proposals.",2015-07-24,2015-07-24,,duty
687,Business improvement district -  approval in ballot,A local authority must carry out a ballot regarding BID proposals in the required manner.,2015-07-24,2015-07-24,,duty
688,Business improvement district -  veto,A local authority may veto BID proposals in certain prescribed circumstances taking certain prescribed steps.,2015-07-24,2015-07-24,,power
689,Business improvement district -  appeal against veto,A local authority must comply with the outcome of any appeal against its veto of BID proposals.,2015-07-24,2017-11-16,,duty
690,Business improvement district -  commencement and duration of BID arrangements,The billing authority concerned must ensure that BID arrangements which give effect to the proposals are made by the time the arrangements are to come into force and are to have effect for such period as may be specified in the arrangements in accordance with regulations.,2015-07-24,2015-07-24,,duty
691,Policy - housing finance strategies and statements,A local authority must prepare such housing strategies and statements as may be required.,2015-07-24,2015-07-24,,duty
692,Policy -  charging for discretionary services,A local authority may charge the service recipient for certain discretionary services.,2015-07-24,2015-07-24,,power
693,Policy -  trading in function-related activities through a company,A local authority may as authorised by regulations trade in function related activities through a company.,2015-07-24,2015-07-24,,power
694,Consultation -  local polls,A local authority may conduct a local poll in relation to its functions or services.,2015-07-24,2015-07-24,,power
695,Licensing/registration - register of motor salvage operators,A local authority must establish and maintain a register of motor salvage operators.,2015-07-24,2015-07-24,,duty
696,Licensing/registration -  cancellation of motor salvage operator registration,A local authority may cancel a person's registration in the register for their area if they are satisfied that he is not a fit and proper person to carry on business as a motor salvage operator.,2015-07-24,2015-07-24,,power
697,Licensing/registration - proceedings for offences related to motor salvage operators,A local authority may institute proceedings for an offence under Part I of the Act.,2015-07-24,2015-07-24,,power
698,Licensing/registration - entry to property of registration plate supplier,An authorised officer of a local authority may enter a and inspect the premises of a registered registration plate supplier for the purposes of enforcing the Act.,2015-07-24,2015-07-24,,power
699,Licensing/registration - proceedings for offences related to registration plate suppliers,A local authority may institute proceedings under Part II of the Act.,2015-07-24,2015-07-24,,power
700,Immigration and asylum - accommodation centres,A local authority may assist in the provision of an accommodation centre including the provision of services and reasonable expenditure.,2015-07-24,2015-07-24,,power
701,Immigration and asylum -  disclosure of information,A local authority must supply the Secretary of State with information for the purpose of establishing where a person is when requested to do so.,2015-07-24,2015-07-24,,duty
702,Planning and development - survey of area in England,A local authority must keep under review the matters which may be expected to affect the development of their area or the planning of its development.,2015-07-24,2015-07-24,,duty
703,Planning and development - survey of area related to county matters,A county council in respect of so much of their area for which there is a district council must keep under review the matters which may be expected to affect development of that area or the planning of its development in so far as the development relates to a county matter.,2015-07-24,2015-07-24,,duty
704,Planning and development - local development schemes,"A local authority must prepare, maintain and revise a scheme to be known as their local development scheme as directed.",2015-07-24,2015-07-24,,duty
705,Planning and development - minerals and waste development scheme,A county council in respect of so much of their area for which there is a district council must prepare and maintain a scheme to be known as their minerals and waste development scheme,2015-07-24,2015-07-24,,duty
706,Planning and development - statement of community involvement,A local authority must prepare a statement of community involvement.,2015-07-24,2015-07-24,,duty
707,Planning and development - preparation of local development documents,A local authority must prepare and submit development plan documents as directed.,2015-07-24,2015-07-24,,duty
708,Planning and development - withdrawal of local development documents,A local authority may withdraw local development documents at any time before adoption.,2015-07-24,2015-07-24,,power
709,Planning and development - adoption of local development documents,The local planning authority may adopt a local development document (other than a development plan document) either as originally prepared or as modified to take account of any representations made in relation to the document  or any other matter they think is relevant.,2015-07-24,2015-07-24,,power
710,Planning and development - discretionary revision of local development documents,The local planning authority may at any time prepare a revision of a local development document.,2015-07-24,2015-07-24,,power
711,Planning and development - mandatory revision of local development documents,"The authority must prepare a revision of a local development document if the Secretary of State directs them to do so, and in accordance with such timetable as he directs.",2015-07-24,2015-07-24,,duty
712,Planning and development - reimbursement of costs to Secretary of State,"A local authority must pay the costs of the Secretary of State where he utilises his default power  if he thinks that a local planning authority are failing or omitting to do anything it is necessary for them to do in connection with the preparation, revision or adoption of a development plan document.",2015-07-24,2015-07-24,,duty
713,Planning and development - joint local development documents,Two or more local authority may prepare local development documents and may request the Secretary of State's involvement in the dissolution of the arrangement.,2015-07-24,2017-11-27,,power
714,Planning and development - discretionary joint committees,One or more local authorities may agree with one or more county councils in relation to any area of such a council for which there is also a district council to establish a joint committee to be the local planning authority,2015-07-24,2015-07-24,,power
715,Planning and development - mandatory joint committees,Local authorities must comply with the Secretary of State's direction to establish or to revoke a joint committee.,2015-07-24,2015-07-24,,duty
716,Planning and development - co-operation in relation to sustainable development,Local authorities must co-operate in relation to the planning of sustainable development.,2015-07-24,2015-07-24,,duty
717,Planning and development - regard to Secretary of State's guidance,Local authorities must have regard to the Secretary of State's guidance when exercising their functions with relation to local development.,2015-07-24,2015-07-24,,duty
718,Planning and development - local development monitoring reports,Local authorities must prepare and make available monitoring reports on local development as directed.,2015-07-24,2015-07-24,,duty
719,Planning and development - neighbourhood development plans,Local authorities must prepare a neighbourhood development plan in certain circumstances,2015-07-24,2015-07-24,,duty
720,Planning and development - sustainable development,A local authority must exercise various functions under the Act with a view to achieving sustainable development.,2015-07-24,2015-07-24,,duty
721,Development control -  response to consultation,A local authority must respond to consultation in accordance with regulations.,2015-07-24,2015-07-24,,duty
722,Planning and development Wales - survey of area in Wales,A local authority must keep under review the matters which may be expected to affect the development of their area or the planning of its development.,2015-07-24,2015-07-24,,duty
723,Planning and development Wales - local development plan,A local authority must prepare and appraise a local development plan as directed.,2015-07-24,2015-07-24,,duty
725,Planning and development Wales - intervention by Assembly,A local authority must comply with directions from the Assembly.,2015-07-24,2015-07-24,,duty
726,Planning and development Wales - withdrawal of local development plan,A local authority may withdraw a local development plan at any time before it is adopted.,2015-07-24,2015-07-24,,power
727,Planning and development Wales - adoption of local development plan,A local authority may adopt a local development plan in certain circumstances. ,2015-07-24,2015-07-24,,power
728,Planning and development Wales - revocation of local development plan,A local authority may request the Assembly to revoke a local development plan. ,2015-07-24,2015-07-24,,power
729,Planning and development Wales - review of local development plan,A local authority must review a local development plan as directed. ,2015-07-24,2015-07-24,,duty
730,Planning and development Wales - revision of local development plan,A local authority must revise a local development plan in certain circumstances. ,2015-07-24,2015-07-24,,duty
732,Planning and development -  expenditure of Assembly,"A local authority must pay the expenditure of the Assembly in relation to the exercise of their default power in connection with the preparation, revision or adoption of a local development plan. ",2015-07-24,2015-07-24,,duty
733,Planning and development Wales -  regard to guidance from Assembly,A local authority must in exercising any function under Part 6 of the Act have regard to Guidance from the Assembly.,2015-07-24,2015-07-24,,duty
734,Planning and development Wales -  annual monitoring report,A local authority must prepare an annual monitoring report to the Assembly in the manner directed.,2015-07-24,2015-07-24,,duty
735,Licensing and registration - private security industry licence,A local authority must comply with any Regulations issued regarding private security industry licensing.,2015-07-24,2015-07-24,,duty
736,Social care - charge on land for part 3 accommodation,A local authority may take a charge on land in relation to the provision of Part 3 accommodation.,2015-07-24,2015-07-24,,power
737,Social care - deferred payments for part 3 accommodation,A local authority must comply with any directions issued with regard to deferred payment agreements relating to the provision of Part 3 accommodation.,2015-07-24,2015-07-24,,duty
738,Social care - direct payments regulations,A local authority must comply with regulations relating to the making of direct payments.,2015-07-24,2015-07-24,,duty
739,Trading standards - tobacco advertising and promotion enforcement,A local authority must enforce the Act and the provisions made therein.,2015-07-24,2015-07-24,,duty
740,Trading standards - entry to premises for tobacco advertising and promotion enforcement,An authorised officer of a local authority may enter premises and make purchases (subject to certain conditions and obligations) in order to enforce the Act.,2015-07-24,2015-07-24,,power
741,Waste disposal - landfills,A local authority must comply with regulations regarding performance of their functions with regard to disposal of waste in landfills.,2015-07-24,2015-07-24,,duty
742,Waste disposal -  municipal waste management strategy,A local authority in Wales must comply with regulations regarding its municipal waste management strategy.,2015-07-24,2015-07-24,,duty
743,Waste disposal -  provision of information about waste,A local authority in Wales must comply with regulations requiring it to provide information about waste.,2015-07-24,2015-07-24,,duty
744,Waste disposal -  joint municipal waste management strategies,Local authorities in a two tier area must produce and publish a joint municipal waste management strategy and make the same available.,2015-07-24,2015-07-24,,duty
745,Water conservation by public authorities,Local authorities must take water conservation into account when exercising their functions.,2015-07-24,2015-07-24,,duty
746,Carers - assessment of ability of carers to provide care,A local authority must carry out an assessment of a carer's ability to provide care in certain circumstances when requested to do so by the carer and must inform the carer of his right to make this request.,2015-07-24,2015-07-24,,duty
747,Clean air -  exemption from requirements regarding grit and dust emissions from a furnace,A local authority may relax the application of section 6(1) relating to the emission of grit and dust from furnaces in certain circumstances.,2015-07-24,2015-07-24,,power
748,Clean air -  requirement to fit arrestment plant for burning solid fuel,"A local authority must consider requests for approval of an arrestment plant where a domestic furnace is used in a building to burn pulverised fuel or to burn, at a rate of 1.02 tonnes an hour or more, solid fuel in any other form or solid waste,",2015-07-24,2015-07-24,,duty
749,Clean air -  notification of decision on application for arrestment plant ,"A local authority must, when determining an application under sections 6 or 8 of the Act, give a reasoned, written decision.",2015-07-24,2015-07-24,,duty
750,"Clean air -  measurement of grit, dust and fumes by local authorities","A local authority must, in certain circumstances, take measurements of grit, dust and fumes emanating from a furnace.",2015-07-24,2015-07-24,,duty
751,Clean air -  information about furnaces and fuel consumed,A local authority may request information about the furnace and the type of fuel burned for certain purposes.,2015-07-24,2015-07-24,,power
752,Clean air -  height of chimneys ,A local authority must consider granting approval to the height of chimneys in certain circumstances and must give written reasons where that approval is denied.,2015-07-24,2015-07-24,,duty
753,Clean air -  discretionary smoke control areas ,A local authority may by order declare the whole or part of its area to be a smoke control area.,2015-07-24,2015-07-24,,power
754,Clean air -  smoke control orders,A local authority may issue smoke control orders in a smoke control area.,2015-07-24,2015-07-24,,power
755,Clean air -  directed smoke control areas ,A local authority must comply with any direction from the secretary of state to make an area a smoke control area.,2015-07-24,2017-11-16,,duty
756,Clean air -  exemptions relating to prohibition of smoke emission in particular areas,A local authority must comply with any direction from the secretary of state that the prohibition under section 20 with regard to smoke control areas should be suspended or relaxed.,2015-07-24,2015-07-24,,duty
757,Clean air -  adaptation of fireplaces in private dwellings,"A local authority may, in relation to a smoke control area, serve a notice requiring the adaption of a fireplace in a private dwelling and may give grants in certain circumstances.",2015-07-24,2015-07-24,,power
758,Clean air -  grants for adaptation of fireplaces,"A local authority may, give a grant towards adaptations to fireplaces in churches, chapels and buildings used by charities.",2015-07-24,2015-07-24,,power
759,Air pollution -  research and publicity ,A local authority may incur expenditure for the purposes of research of or publicity into air pollution.,2015-07-24,2015-07-24,,power
760,Air pollution -  obtaining information,A local authority may take various steps to obtain information about the emission of pollutants.,2015-07-24,2015-07-24,,power
761,Air pollution -  notices requiring information,A local authority may serve a notice requiring an occupier of certain premises to give them certain information regarding the emission of pollutants or other substances into the air from the premises.,2015-07-24,2015-07-24,,power
762,Air pollution -  information for the Secretary of State,A local authority must comply with directions regarding the provision of air pollution information for use by the Secretary of State.,2015-07-24,2015-07-24,,duty
763,Air pollution -  exemption for purposes of investigations and research,A local authority may issue a notice in writing exempting or limiting the extent of certain sections of the Act for the purposes of investigations or research,2015-07-24,2015-07-24,,power
764,Air pollution -  Crown premises,A local authority must report certain emissions from Crown premises or vessels to the appropriate Minister,2015-07-24,2015-07-24,,duty
765,Clean air -  notification of offences,A local authority must notify occupiers of certain premises of offences relating to emissions of smoke in certain circumstances.,2015-07-24,2015-07-24,,duty
766,Clean air -  general provisions as to enforcement,A local authority must enforce certain provisions of the Act.,2015-07-24,2015-07-24,,duty
767,Clean air -  institution of proceedings,A local authority may bring proceedings under certain provisions of the Act.,2015-07-24,2015-07-24,,power
768,Clean air -  rights of entry and inspection ,An officer authorised by a local authority has the powers of entry and inspection for certain purposes under the Act.,2015-07-24,2015-07-24,,power
769,Clean air -  notice to require information,A local authority may serve a notice to require information in relation to certain of its functions under the Act.,2015-07-24,2015-07-24,,power
770,Clean air -  authority defaulting on functions,A local authority must comply with directions from the Secretary of State when exercising his default powers under the Act.,2015-07-24,2015-07-24,,duty
771,Clean air -  joint exercise of local authority functions,Two or more local authorities may act jointly for certain purposes under the Act.,2015-07-24,2015-07-24,,power
772,Anti-social behaviour -  child safety orders ,A local authority must co-operate with a court in the court's dealings with a child safety order.,2015-07-24,2015-07-24,,duty
773,Anti-social behaviour - parental compensation order ,A local authority may apply for a parental compensation order or a review of the order in certain circumstances.,2015-07-24,2015-07-24,,power
774,Crime and disorder - consideration of crime and disorder implications,"Without prejudice to any other obligation imposed on it, it shall be the duty of each authority to which this section applies to exercise its various functions with due regard to the likely effect of the exercise of those functions on, and the need to do all that it reasonably can to prevent, crime and disorder in its area.",2015-07-24,2015-07-24,,duty
775,Crime and disorder - sharing of information,A local authority must share prescribed information with other local authorities.,2015-07-24,2015-07-24,,duty
776,Youth justice - local provision of services ,"A local authority must, acting in co-operation with certain other bodies secure that, to such extent as is appropriate for their area, all youth justice services are available there.",2015-07-24,2015-07-24,,duty
777,Youth justice - youth offending teams,"A local authority must, acting in co-operation with certain other bodies establish one or more youth offending teams for their area.",2015-07-24,2015-07-24,,duty
778,Youth justice - notification of detention of child or young person,A youth offending team of a local authority must notify certain bodies when a young person is convicted of an offence.,2015-07-24,2015-07-24,,duty
779,Youth justice - youth justice plans,"A local authority must, after consultation with the relevant persons and bodies, formulate and implement for each year a youth justice plan.",2015-07-24,2015-07-24,,duty
780,Crime and disorder -  anti-social behaviour orders,A local authority may apply for an anti-social behaviour order if certain conditions are met.,2015-07-24,2015-07-24,,power
781,Crime and disorder - review of anti-social behaviour orders,A local authority must take part in a review of an anti-social behaviour order in certain circumstances.,2015-07-24,2015-07-24,,duty
782,Crime and disorder -  combination agreements,Two or more local authorities may enter into a combination agreement for their area with regard to reducing crime and disorder and must comply with prescribed requirements in so doing.,2015-07-24,2015-07-24,,power
783,Crime and disorder - formulation and implementation of strategies,The local authorities for an area are responsible for formulating and implementing crime and disorder strategies for that area.,2015-07-24,2015-07-24,,duty
784,Anti-social behaviour -  parenting orders ,A local authority must co-operate with a court when the court wishes to make a parenting order.,2015-07-24,2015-07-24,,duty
785,Data protection - compliance,A local authority must comply with the Data Protection Act 1998.,2015-07-24,2015-07-24,,duty
786,Education -  promotion of high standards in primary and secondary education,"A local authority must exercise its functions so as to promote high standards, ensure fair access to opportunity for education and training and fulfilment of potential.",2015-07-24,2015-07-24,,duty
787,Education -  pupils to be educated in accordance with their parents' wishes,A local authority must in performing its powers and duties must have regard to the general principle that children should be educated in accordance with their parents' wishes in so far as that is compatible with the provision of efficient instruction and training and the avoidance of unreasonable public expenditure.,2015-07-24,2015-07-24,,duty
788,Education -  general responsibility for education,"A local authority must in so far as their powers enable them to do so contribute towards the spiritual, moral, mental and physical development of the community by securing that efficient primary education and secondary education and, in the case of a local authority in England, further education and to achieve high standards and fulfil potential.",2015-07-24,2015-07-24,,duty
789,Education -  primary and secondary schooling,A local authority must secure sufficient primary and secondary schooling in their area for the needs of all children of compulsory school age.,2015-07-24,2015-07-24,,duty
790,Education -  consideration of parental representations,A local authority must consider and respond to parental representations.,2015-07-24,2015-07-24,,duty
791,Education - education provision for persons above compulsory school age,A local authority must secure that sufficient education and training provision is provided for young people of 6th form age and for young people aged between 19 and 24 who are subject to a learning difficulty assessment and must co-operate with each other and have regard to guidance when doing so.,2015-07-24,2015-07-24,,duty
792,Education - encouragement of education and training for persons over compulsory school age,A local authority must encourage participation in education by young people of 6th form age and for young people aged between 19 and 24 who are subject to a learning difficulty assessment and by employers and have regard to guidance when so doing..,2015-07-24,2015-07-24,,duty
793,Education -  full-time education for 16 to 18 year olds,A local authority may secure education and training provision for young people aged 16 to 18.,2015-07-24,2015-07-24,,power
794,Education -   education for persons aged 19 and over,A local authority may secure education and training provision for persons aged 19 or over.,2015-07-24,2015-07-24,,power
795,"Education -  establishment, maintenance and assistance of primary and secondary schools","A local authority may establish, maintain and assist primary and secondary schools for children of compulsory school age.",2015-07-24,2015-07-24,,power
796,"Education -  establishment, maintenance and assistance of nursery schools","A local authority may establish, maintain and assist nursery schools.",2015-07-24,2015-07-24,,power
797,Education -  provision of education at non-maintained schools,A local authority may arrange for primary or secondary educational provision at schools not maintained by a local authority.,2015-07-24,2015-07-24,,power
798,Education - children in youth detention,A local authority must arrange education for children (aged under 19) in youth detention.,2015-07-24,2015-07-24,,duty
799,Education -  children not receiving education at a school,"A local authority must make arrangements for the provision of suitable education at school or otherwise than at school for those children of compulsory school age who, by reason of illness, exclusion from school or otherwise, may not for any period receive suitable education.",2015-07-24,2015-07-24,,duty
800,Special educational needs - code of practice,A local authority and the governing bodies of schools maintained by it must have regard to special educational needs code of practice when dealing with SEN issues.,2015-07-24,2015-07-24,,duty
801,Special educational needs - review of arrangements,A local authority must keep under review its SEN provision and consult with others as it thinks necessary or desirable.,2015-07-24,2015-07-24,,duty
802,Special educational needs - education in mainstream school,"A local authority must educate a child with SEN in a mainstream school unless it is incompatible with the wishes of his parent, or the provision of efficient education for other children.",2015-07-24,2015-07-24,,duty
803,Special educational needs - education in non-mainstream school,A local authority may educate a child with SEN in a non-mainstream school in certain circumstances.,2015-07-24,2015-07-24,,power
804,Special educational needs - duties of governing body or local education authority,A local authority and the governing body of a school maintained by a local authority must comply with certain general duties regarding SEN provision,2015-07-24,2015-07-24,,duty
805,Special educational needs - informing parent of SEN provision,A local authority in the case of a pupil referral unit or the governing body of a school maintained by the local authority must inform a parent when SEN provision is made.,2015-07-24,2015-07-24,,duty
806,Special educational needs - provision of goods and services,A local authority may provide goods and services to the governing body of a maintained school in connection with SEN provision.,2015-07-24,2015-07-24,,power
807,Special educational needs -  provision otherwise than in schools,A local authority must consult the parent where it proposes to make SEN provision otherwise than at school.,2015-07-24,2015-07-24,,duty
808,Special educational needs - provision outside England and Wales,A local authority may make SEN provision outside England and Wales in certain circumstances.,2015-07-24,2017-11-27,,power
809,Special educational needs - identification and assessment of needs,A local authority has a general duty to identify and assess SEN provision for the children for whom they are responsible.,2015-07-24,2015-07-24,,duty
810,Special educational needs - parental notification of assessment,Where an authority believes a child for whom they are responsible may have special educational needs they must notify the parents that they are considering an assessment and of the procedure for doing so.,2015-07-24,2015-07-24,,duty
811,Special educational needs - statement,"If in the light of an assessment of any child's educational needs and of any representations made by the child's parent it is necessary for the local education authority to, determine the special educational provision which any learning difficulty he may have calls for, the authority shall make and maintain a statement of his special educational needs.",2015-07-24,2015-07-24,,duty
812,Special educational needs - notice of no statement,A local authority must where it decides not to make a statement of SEN give the parent a notice in writing explaining the right to appeal.,2015-07-24,2015-07-24,,duty
813,Special educational needs - appeals,A local authority must comply with the SEN appeals procedure and its outcome.,2015-07-24,2015-07-24,,duty
814,Special educational needs - access to schools,An officer authorised by a local authority may access certain schools in connection with their SEN provision.,2015-07-24,2015-07-24,,power
815,Special educational needs - reviews of educational needs,A local authority must comply with the prescribed process for reviewing SEN provision and the appeals procedure.,2015-07-24,2015-07-24,,duty
816,Special educational needs - parental request for assessment,A local authority must assess a child's SEN at its parent's request in certain circumstances and comply with the appeals procedure and the outcome of any appeal.,2015-07-24,2015-07-24,,duty
817,Special educational needs - review and assessment on request of responsible body,A local authority must review or assess a child's SEN at the request of the responsible body in certain circumstances and comply with the appeals procedure and the outcome of any appeal.,2015-07-24,2015-07-24,,duty
818,Special educational needs - assessment of children under two,A local authority may assess a child under two for SEN provision in certain circumstances.,2015-07-24,2015-07-24,,power
819,Special educational needs - giving notice to or serving documents upon child,A local authority must give notice to or serve documents relating to a SEN appeal upon the child in certain circumstances.,2015-07-24,2015-07-24,,duty
820,Special educational needs - case friends,A local authority must comply with regulations regarding case friends.  A case friend is the name given to a person who may make representations on behalf of a child with a view to avoiding or resolving disagreements about the exercise by local education authorities in Wales of SEN functions and may exercise the rights of a child on the child's behalf.,2015-07-24,2015-07-24,,duty
821,Special educational needs - advice and information for parents in England,A local authority must provide advice and information for parents with regard to SEN and must have regard to guidance from the Secretary of State when so doing.,2015-07-24,2015-07-24,,duty
822,Special educational needs - advice and information for parents in Wales,A local authority must provide advice and information for parents with regard to SEN and must have regard to guidance from the Welsh Minister when so doing.,2015-07-24,2015-07-24,,duty
823,Special educational needs - dispute resolution procedure in England,A local authority must prepare and publish a dispute resolution procedure relating to SEN matters and must have regard to guidance from the Secretary of State when so doing.,2015-07-24,2015-07-24,,duty
824,Special educational needs - dispute resolution procedure in Wales,A local authority must prepare and publish a dispute resolution procedure relating to SEN matters and must have regard to guidance from Welsh ministers when so doing.,2015-07-24,2015-07-24,,duty
825,Special educational needs - independent advocacy services,"A local authority must make arrangements for the provision of independent advocacy services (relating to SEN) in their area, publicise the same and must have regard to guidance from Welsh Ministers when so doing.",2015-07-24,2015-07-24,,duty
826,Special educational needs - compliance with tribunal order,A local authority must comply with an order of the tribunal within the prescribed timescale.,2015-07-24,2015-07-24,,duty
827,Religious education -  advisory councils,A local authority must establish a standing advisory council to advise on religious education.,2015-07-24,2015-07-24,,duty
828,Religious education -  Sunday schools,"A local authority or a school maintained by it may not make access to education, further education or training conditional upon a child attending or not attending Sunday School.",2015-07-24,2015-07-24,,duty
829,Education -  entering pupils for public examinations,"A governing body of a school maintained by a local authority must, in certain circumstances, enter pupils for public examinations.",2015-07-24,2015-07-24,,duty
830,Education -  manner of provision of sex education,"The governing body and head teacher shall take such steps as are reasonably practicable to secure that where sex education is given to any registered pupils at a maintained school, it is given in such a manner as to encourage those pupils to have due regard to moral considerations and the value of family life. and must have due regard to guidance when so doing.",2015-07-24,2015-07-24,,duty
831,Education -  sex education statements of policy,"A governing body of a school maintained by a local authority must make, keep up to date and provide free of charge a statement of policy on sex education.",2015-07-24,2015-07-24,,duty
832,Education -  exemption from sex education,A governing body of a school maintained by a local authority must comply with a parental request that his or her child be excused from sex education.,2015-07-24,2015-07-24,,duty
833,Education -  political indoctrination,A local education authority and a governing body of a school maintained by a local authority must forbid political indoctrination and adopt a balanced approach to political issues.,2015-07-24,2015-07-24,,duty
834,Education -  provision of information,A local education authority and a governing body of a school maintained by a local authority must comply with regulations regarding the provision of information.,2015-07-24,2015-07-24,,duty
835,Education -  complaints management,A local education authority must consult governing bodies and make arrangements for the consideration and disposal of complaints.    and a governing body of a school maintained by a local authority must comply with Regulations regarding the provision of information.,2015-07-24,2015-07-24,,duty
836,Education -  late school admissions,A governing body of a school maintained by a local authority must not refuse to admit a child to a school where the late application was due to circumstances beyond the child's control.,2015-07-24,2015-07-24,,duty
837,Education -  registration of pupils,A governing body of a school maintained by a local authority must keep a school register in accordance with regulations.,2015-07-24,2015-07-24,,duty
838,Education -  early transfer to secondary education,A local authority must make arrangements to enable children to be withdrawn from primary education for the purpose of receiving secondary education in certain circumstances.,2015-07-24,2015-07-24,,duty
